% Model,hl2.mph
% Version,COMSOL 6.1.0.357
% Date,"Nov 24 2023, 13:03"
% Table,Accumulated Probe Table 4 - 
% m,d1 (m),freq (Hz),"Total acoustic pressure (Pa), Pressure","Total acoustic velocity, z-component (m^3/s), Velocity","Total acoustic pressure (Pa), Pressure 1","Total acoustic velocity, z-component (m^3/s), Velocity 1","10*log10(acpr.p_t/acpr.v_tz), Impedance Probe 5"
0,0.01,10,0,0,5000,-9.063961824545138E-14-6.505986317898963E-4i,20.817767402338347+6.821881769814255i
0,0.01,20,0,0,5000,-1.5315726979675983E-12-0.00133717612092652i,17.689012734288106+6.821881774183523i
0,0.01,30,0,0,5000,-8.521148440254548E-12-0.002102666663316882i,15.723194566129227+6.82188178680918i
0,0.01,40,0,0,5000,-3.0981714399916526E-11-0.003006943677590339i,14.169645923570005+6.821881813956264i
0,0.01,50,0,0,5000,-9.200766685695222E-11-0.004145354087732816i,12.775282528337+6.821881865602474i
0,0.01,60,0,0,5000,-2.49634105773888E-10-0.005689898586346925i,11.399853600214604+6.821881959748129i
0,0.01,70,0,0,5000,-6.713777891234471E-10-0.007997800515326703i,9.921193182889557+6.821882133779028i
0,0.01,80,0,0,5000,-1.964181598735302E-9-0.011969179398005698i,8.170255094793728+6.8218824819006985i
0,0.01,90,0,0,5000,-7.465727834019268E-9-0.020741141026866958i,5.78257241418634+6.82188333244259i
0,0.01,100,0,0,5000,-7.256354325859065E-8-0.05819302820955498i,1.3021892854970285+6.821887184625346i
0,0.01,110,0,0,5000,-2.258707165997697E-7+0.09332945678667431i,-0.7492885222207091-6.821892279760668i
0,0.01,120,0,0,5000,-2.346628389313168E-8+0.027573329498340987i,4.546006752259667-6.821885465272682i
0,0.01,130,0,0,5000,-1.0058740088237673E-8+0.01666251931699618i,6.733492199487803-6.82188439093479i
0,0.01,140,0,0,5000,-6.197563068761076E-9+0.012143830009778282i,8.107342065431824-6.8218839856165845i
0,0.01,150,0,0,5000,-4.50046753015356E-9+0.009657592667714493i,9.102210018177146-6.821883793034691i
0,0.01,160,0,0,5000,-3.581342957487194E-9+0.008075872586278345i,9.87900427423896-6.82188369514039i
0,0.01,170,0,0,5000,-3.0173456945826014E-9+0.0069759332719398146i,10.514875681329137-6.821883647691317i
0,0.01,180,0,0,5000,-2.641334692198222E-9+0.006163496986602712i,11.052626978598596-6.821883630355704i
0,0.01,190,0,0,5000,-2.375430960744175E-9+0.00553671149742431i,11.518379916162754-6.821883632475081i
0,0.01,200,0,0,5000,-2.178942831074197E-9+0.005036983834208756i,11.929193288165553-6.821883647918528i
0,0.01,210,0,0,5000,-2.0287316444279666E-9+0.0046281881854382395i,12.296788764793984-6.821883672906558i
0,0.01,220,0,0,5000,-1.910754440627275E-9+0.004286818914218519i,12.629547476101216-6.821883704980524i
0,0.01,230,0,0,5000,-1.8160362177281426E-9+0.003996908196203984i,12.933657126449381-6.821883742470712i
0,0.01,240,0,0,5000,-1.738594688734579E-9+0.0037472187871211014i,13.21380835052945-6.821883784202519i
0,0.01,250,0,0,5000,-1.6743009870757374E-9+0.0035296058467579744i,13.473636756698932-6.821883829325014i
0,0.01,260,0,0,5000,-1.6202206111328787E-9+0.003338016450451872i,13.716014131896362-6.821883877206221i
0,0.01,270,0,0,5000,-1.574215068214246E-9+0.003167854660043039i,13.943246377210963-6.821883927366669i
0,0.01,280,0,0,5000,-1.53469192564296E-9+0.003015565149817433i,14.157211702000552-6.821883979435819i
0,0.01,290,0,0,5000,-1.500442846488054E-9+0.0028783522949843874i,14.359459376428086-6.821884033122661i
0,0.01,300,0,0,5000,-1.4705356530834117E-9+0.002753985889435849i,14.551281750877807-6.82188408819538i
0,0.01,310,0,0,5000,-1.444240601067105E-9+0.0026406638037427747i,14.733767733221836-6.821884144466985i
0,0.01,320,0,0,5000,-1.420978909801355E-9+0.0025369129876974244i,14.907843139912567-6.82188420178495i
0,0.01,330,0,0,5000,-1.400286124329072E-9+0.002441516858463282i,15.074301584216114-6.821884260023615i
0,0.01,340,0,0,5000,-1.3817855756853498E-9+0.002353461200250191i,15.233828430013567-6.821884319078524i
0,0.01,350,0,0,5000,-1.3651688510508232E-9+0.002271893280098825i,15.387019588412869-6.821884378862151i
0,0.01,360,0,0,5000,-1.3501812156122585E-9+0.0021960905498374966i,15.534396427081479-6.821884439300618i
0,0.01,370,0,0,5000,-1.336610588265022E-9+0.0021254364023437105i,15.67641771340851-6.821884500331164i
0,0.01,380,0,0,5000,-1.3242791051043887E-9+0.00205940118795514i,15.813489268786059-6.8218845619001645i
0,0.01,390,0,0,5000,-1.3130365924963088E-9+0.0019975272010587337i,15.945971838290548-6.821884623961555i
0,0.01,400,0,0,5000,-1.3027554664585923E-9+0.0019394166969176243i,16.07418755560576-6.821884686475573i
0,0.01,410,0,0,5000,-1.2933267095629797E-9+0.001884722245364574i,16.198425292352425-6.821884749407773i
0,0.01,420,0,0,5000,-1.2846566703009645E-9+0.001833138904011851i,16.318945114147432-6.821884812728178i
0,0.01,430,0,0,5000,-1.2766644963630126E-9+0.0017843978208512985i,16.435982015910398-6.8218848764106355i
0,0.01,440,0,0,5000,-1.269280060911686E-9+0.0017382609691446063i,16.54974907143287-6.8218849404322635i
0,0.01,450,0,0,5000,-1.2624422754850264E-9+0.001694516786255777i,16.66044010372601-6.821885004772986i
0,0.01,460,0,0,5000,-1.256097708502893E-9+0.001652976539398903i,16.768231960820824-6.821885069415172i
0,0.01,470,0,0,5000,-1.2501994471048332E-9+0.001613471279952191i,16.873286464800564-6.821885134343298i
0,0.01,480,0,0,5000,-1.2447061540880647E-9+0.0015758492773929353i,16.975752088683162-6.821885199543708i
0,0.01,490,0,0,5000,-1.2395812822818661E-9+0.0015399738464460988i,17.075765405447015-6.82188526500436i
0,0.01,500,0,0,5000,-1.2347924167514697E-9+0.0015057214984526561i,17.17345234533155-6.821885330714661i
0,0.01,510,0,0,5000,-1.2303107213889597E-9+0.001472980361517922i,17.268929291047634-6.821885396665289i
0,0.01,520,0,0,5000,-1.2261104712191232E-9+0.0014416488246201168i,17.362304035341104-6.821885462848065i
0,0.01,530,0,0,5000,-1.2221686554446078E-9+0.001411634369240453i,17.4536766211653-6.821885529255819i
0,0.01,540,0,0,5000,-1.218464639169205E-9+0.0013828525587269104i,17.54314008133565-6.82188559588231i
0,0.01,550,0,0,5000,-1.214979874011876E-9+0.0013552261609186137i,17.63078109177634-6.821885662722114i
0,0.01,560,0,0,5000,-1.2116976496439938E-9+0.001328684383821025i,17.71668055022392-6.821885729770566i
0,0.01,570,0,0,5000,-1.208602879724508E-9+0.0013031622075702193i,17.800914090390602-6.82188579702369i
0,0.01,580,0,0,5000,-1.2056819168623079E-9+0.0012785997987185837i,17.883552540064798-6.821885864478139i
0,0.01,590,0,0,5000,-1.202922392174139E-9+0.0012549419951547918i,17.964662330357132-6.821885932131149i
0,0.01,600,0,0,5000,-1.200313075755543E-9+0.0012321378518395853i,18.044305862241952-6.821885999980501i
0,0.01,610,0,0,5000,-1.1978437549980631E-9+0.0012101402390758335i,18.122541835663366-6.82188606802447i
0,0.01,620,0,0,5000,-1.1955051281900798E-9+0.0011889054863030149i,18.1994255457311-6.821886136261813i
0,0.01,630,0,0,5000,-1.1932887112482281E-9+0.001168393065460852i,18.27500914990713-6.821886204691732i
0,0.01,640,0,0,5000,-1.191186755764785E-9+0.001148565308844551i,18.349341909560543-6.821886273313857i
0,0.01,650,0,0,5000,-1.1891921768414676E-9+0.0011293871571118627i,18.422470408809776-6.821886342128218i
