% Model,hl2.mph
% Version,COMSOL 6.1.0.357
% Date,"Nov 24 2023, 12:47"
% Table,Accumulated Probe Table 9 - 
% d1 (m),freq (Hz),"Total acoustic pressure (Pa), Pressure","Total acoustic velocity, z-component (m^3/s), Velocity","Total acoustic pressure (Pa), Pressure 1","Total acoustic velocity, z-component (m^3/s), Velocity 1","10*log10(acpr.p_t/acpr.v_tz), Impedance Probe 5"
0.01,10,0,0,5000,-9.063962009940795E-14-6.505986316619522E-4i,20.81776740319241+6.821881769814255i
0.01,20,0,0,5000,-1.5315726983912632E-12-0.0013371761208883965i,17.689012734411925+6.821881774183523i
0.01,30,0,0,5000,-8.521148439430602E-12-0.002102666663301847i,15.72319456616028+6.82188178680918i
0.01,40,0,0,5000,-3.098171439880893E-11-0.0030069436774504145i,14.1696459237721+6.821881813956264i
0.01,50,0,0,5000,-9.200766685907224E-11-0.004145354087816508i,12.775282528249319+6.821881865602474i
0.01,60,0,0,5000,-2.49634105778153E-10-0.0056898985863791255i,11.399853600190026+6.821881959748129i
0.01,70,0,0,5000,-6.713777891311583E-10-0.007997800515383933i,9.921193182858481+6.821882133779028i
0.01,80,0,0,5000,-1.964181598764939E-9-0.011969179398138347i,8.170255094745595+6.8218824819006985i
0.01,90,0,0,5000,-7.465727834345839E-9-0.02074114102732571i,5.782572414090283+6.82188333244259i
0.01,100,0,0,5000,-7.25635432557236E-8-0.05819302820840461i,1.3021892855828805+6.821887184625346i
0.01,110,0,0,5000,-2.2587071662094477E-7+0.093329456790969i,-0.7492885224205557-6.821892279760668i
0.01,120,0,0,5000,-2.3466283893212976E-8+0.027573329498359597i,4.546006752256735-6.821885465272682i
0.01,130,0,0,5000,-1.005874008823082E-8+0.016662519316988145i,6.7334921994898975-6.82188439093479i
0.01,140,0,0,5000,-6.197563068737895E-9+0.01214383000975243i,8.107342065441072-6.8218839856165845i
0.01,150,0,0,5000,-4.500467530137284E-9+0.00965759266769915i,9.102210018184046-6.821883793034691i
0.01,160,0,0,5000,-3.5813429574837334E-9+0.00807587258627339i,9.879004274241625-6.82188369514039i
0.01,170,0,0,5000,-3.017345694583745E-9+0.006975933271943294i,10.51487568132697-6.821883647691317i
0.01,180,0,0,5000,-2.6413346921972324E-9+0.006163496986601216i,11.05262697859965-6.821883630355704i
0.01,190,0,0,5000,-2.375430960742975E-9+0.005536711497423983i,11.518379916163013-6.821883632475081i
0.01,200,0,0,5000,-2.17894283107494E-9+0.005036983834209131i,11.92919328816523-6.821883647918528i
0.01,210,0,0,5000,-2.0287316444285667E-9+0.004628188185438823i,12.296788764793437-6.821883672906558i
0.01,220,0,0,5000,-1.9107544406272785E-9+0.00428681891421891i,12.629547476100818-6.821883704980524i
0.01,230,0,0,5000,-1.816036217727999E-9+0.003996908196203874i,12.933657126449503-6.821883742470712i
0.01,240,0,0,5000,-1.7385946887343238E-9+0.003747218787120993i,13.213808350529577-6.821883784202519i
0.01,250,0,0,5000,-1.6743009870756278E-9+0.003529605846757917i,13.473636756699005-6.821883829325014i
0.01,260,0,0,5000,-1.620220611132463E-9+0.0033380164504514718i,13.716014131896884-6.821883877206221i
0.01,270,0,0,5000,-1.574215068214291E-9+0.003167854660043092i,13.94324637721089-6.821883927366669i
0.01,280,0,0,5000,-1.534691925643202E-9+0.0030155651498175676i,14.157211702000353-6.821883979435819i
0.01,290,0,0,5000,-1.5004428464883862E-9+0.0028783522949845895i,14.359459376427782-6.821884033122661i
0.01,300,0,0,5000,-1.470535653083425E-9+0.0027539858894357243i,14.551281750878005-6.82188408819538i
0.01,310,0,0,5000,-1.4442406010671351E-9+0.0026406638037427444i,14.733767733221885-6.821884144466985i
0.01,320,0,0,5000,-1.4209789098016771E-9+0.0025369129876975424i,14.907843139912362-6.82188420178495i
0.01,330,0,0,5000,-1.400286124329101E-9+0.002441516858463364i,15.074301584215966-6.821884260023615i
0.01,340,0,0,5000,-1.38178557568528E-9+0.002353461200250092i,15.23382843001375-6.821884319078524i
0.01,350,0,0,5000,-1.3651688510507158E-9+0.002271893280098707i,15.387019588413095-6.821884378862151i
0.01,360,0,0,5000,-1.3501812156122922E-9+0.002196090549837531i,15.53439642708141-6.821884439300618i
0.01,370,0,0,5000,-1.3366105882622953E-9+0.0021254364023437443i,15.67641771340844-6.821884500331164i
0.01,380,0,0,5000,-1.3242791051043585E-9+0.002059401187955154i,15.813489268786032-6.8218845619001645i
0.01,390,0,0,5000,-1.3130365924962846E-9+0.0019975272010587333i,15.945971838290546-6.821884623961555i
0.01,400,0,0,5000,-1.3027554664584376E-9+0.0019394166969175658i,16.07418755560589-6.821884686475573i
0.01,410,0,0,5000,-1.293326709562961E-9+0.0018847222453645114i,16.19842529235257-6.821884749407773i
0.01,420,0,0,5000,-1.2846566703009883E-9+0.0018331389040118571i,16.318945114147418-6.821884812728178i
0.01,430,0,0,5000,-1.2766644963630424E-9+0.0017843978208513045i,16.435982015910383-6.8218848764106355i
0.01,440,0,0,5000,-1.2692800609116023E-9+0.0017382609691445731i,16.54974907143296-6.8218849404322635i
0.01,450,0,0,5000,-1.2624422754850671E-9+0.0016945167862557876i,16.660440103725985-6.821885004772986i
0.01,460,0,0,5000,-1.2560977085028713E-9+0.0016529765393989294i,16.768231960820753-6.821885069415172i
0.01,470,0,0,5000,-1.2501994471048173E-9+0.0016134712799521914i,16.873286464800564-6.821885134343298i
0.01,480,0,0,5000,-1.2447061540880971E-9+0.0015758492773929507i,16.975752088683123-6.821885199543708i
0.01,490,0,0,5000,-1.2395812822818527E-9+0.0015399738464460786i,17.07576540544707-6.82188526500436i
0.01,500,0,0,5000,-1.2347924167504008E-9+0.0015057214984526496i,17.173452345331565-6.821885330714661i
0.01,510,0,0,5000,-1.2303107213889967E-9+0.0014729803615179248i,17.268929291047623-6.821885396665289i
0.01,520,0,0,5000,-1.2261104712190165E-9+0.001441648824620121i,17.362304035341094-6.821885462848065i
0.01,530,0,0,5000,-1.2221686554445813E-9+0.0014116343692404305i,17.453676621165368-6.821885529255819i
0.01,540,0,0,5000,-1.218464639169194E-9+0.001382852558726897i,17.543140081335697-6.82188559588231i
0.01,550,0,0,5000,-1.2149798740118677E-9+0.0013552261609185879i,17.630781091776417-6.821885662722114i
0.01,560,0,0,5000,-1.2116976496441348E-9+0.001328684383821037i,17.71668055022388-6.821885729770566i
0.01,570,0,0,5000,-1.2086028797245703E-9+0.0013031622075702013i,17.800914090390663-6.82188579702369i
0.01,580,0,0,5000,-1.2056819168622225E-9+0.0012785997987185846i,17.883552540064795-6.821885864478139i
0.01,590,0,0,5000,-1.202922392174118E-9+0.0012549419951548i,17.964662330357108-6.821885932131149i
0.01,600,0,0,5000,-1.2003130757555225E-9+0.0012321378518395988i,18.044305862241902-6.821885999980501i
0.01,610,0,0,5000,-1.1978437549980598E-9+0.0012101402390758155i,18.122541835663434-6.82188606802447i
0.01,620,0,0,5000,-1.1955051281899573E-9+0.0011889054863030342i,18.199425545731028-6.821886136261813i
0.01,630,0,0,5000,-1.1932887112482486E-9+0.001168393065460819i,18.275009149907255-6.821886204691732i
0.01,640,0,0,5000,-1.1911867557648063E-9+0.001148565308844555i,18.349341909560525-6.821886273313857i
0.01,650,0,0,5000,-1.189192176841484E-9+0.0011293871571118616i,18.42247040880978-6.821886342128218i
0.01,660,0,0,5000,-1.1872984894082E-9+0.0011108259337149862i,18.494438753205642-6.8218864111352415i
0.01,670,0,0,5000,-1.185499751922783E-9+0.0010928511425543522i,18.565288750466642-6.821886480335731i
0.01,680,0,0,5000,-1.1837905165103508E-9+0.0010754342860865636i,18.635060075214167-6.821886549730858i
0.01,690,0,0,5000,-1.1821657847358905E-9+0.0010585487014938692i,18.703790419405347-6.821886619322161i
0.01,700,0,0,5000,-1.1806209683207239E-9+0.001042169412837385i,18.771515629961783-6.8218866891115315i
0.01,710,0,0,5000,-1.1791518542095792E-9+0.001026272997386816i,18.838269834913227-6.82188675910122i
0.01,720,0,0,5000,-1.1777545734776895E-9+0.0010108374645511045i,18.904085559217982-6.82188682929384i
0.01,730,0,0,5000,-1.1764255736375978E-9+9.958421460306212E-4i,18.968993831296928-6.8218868996923545i
0.01,740,0,0,5000,-1.1751615939676673E-9+9.812675959845535E-4i,19.033024281190556-6.821886970300096i
0.01,750,0,0,5000,-1.1739596435305814E-9+9.670955001517699E-4i,19.096205231157384-6.821887041120769i
0.01,760,0,0,5000,-1.172816981600536E-9+9.533085929910971E-4i,19.158563779440847-6.821887112158455i
0.01,770,0,0,5000,-1.1717311002512406E-9+9.398905820183491E-4i,19.220125877848936-6.821887183417633i
0.01,780,0,0,5000,-1.1706997088939365E-9+9.268260786102179E-4i,19.280916403735226-6.821887254903181i
