% Model,hl2.mph
% Version,COMSOL 6.1.0.357
% Date,"Nov 24 2023, 13:15"
% Table,Accumulated Probe Table 5 - 
% d1 (m),m,freq (Hz),"Total acoustic pressure (Pa), Pressure","Total acoustic velocity, z-component (m^3/s), Velocity","Total acoustic pressure (Pa), Pressure 1","Total acoustic velocity, z-component (m^3/s), Velocity 1","10*log10(acpr.p_t/acpr.v_tz), Impedance Probe 5"
0.03,0,10,0,0,13000.000000000002,-1.6464193630416838E-14-6.489649272588035E-4i,30.37176640068779+6.82188176931939i
0.03,0,20,0,0,13000.000000000002,-2.660441001900082E-13-0.0013043208198972491i,27.340134435038262+6.821881770095042i
0.03,0,30,0,0,13000.000000000002,-1.369373379800299E-12-0.00197267152594387i,25.543431004504196+6.8218817722239535i
0.03,0,40,0,0,13000.000000000002,-4.430602673107824E-12-0.0026610617271702846i,24.24342936275237+6.821881776440093i
0.03,0,50,0,0,13000.000000000002,-1.115262609880113E-11-0.003377236885308548i,23.20836372312774+6.821881783550857i
0.03,0,60,0,0,13000.000000000002,-2.402186477434786E-11-0.0041299561677014505i,22.334524674372926+6.821881794469877i
0.03,0,70,0,0,13000.000000000002,-4.659212374545263E-11-0.004929386449598823i,21.566050590551058+6.821881810258272i
0.03,0,80,0,0,13000.000000000002,-8.391618985398862E-11-0.005787617092250405i,20.868981540488754+6.821881832178613i
0.03,0,90,0,0,13000.000000000002,-1.4320558790585268E-10-0.006719354019819316i,20.22070442534542+6.821881861767662i
0.03,0,100,0,0,13000.000000000002,-2.348535622391549E-10-0.007742882349414276i,19.60495328993432+6.821881900937226i
0.03,0,110,0,0,13000.000000000002,-3.740537435287749E-10-0.008881438099907255i,19.009147221840106+6.821881952117928i
0.03,0,120,0,0,13000.000000000002,-5.834268876428435E-10-0.01016521736826425i,18.422813742894878+6.821882018469728i
0.03,0,130,0,0,13000.000000000002,-8.9741389634248E-10-0.011634407109896362i,17.83653818759721+6.821882104199555i
0.03,0,140,0,0,13000.000000000002,-1.3698884585206781E-9-0.013343908729344304i,17.241150461734396+6.821882215056298i
0.03,0,150,0,0,13000.000000000002,-2.08791399631575E-9-0.015370979623419578i,16.62696598333826+6.821882359131609i
0.03,0,160,0,0,13000.000000000002,-3.197878262156749E-9-0.017828145856486732i,15.982920054353087+6.821882548213079i
0.03,0,170,0,0,13000.000000000002,-4.958235421455293E-9-0.02088618817289358i,15.295390388079932+6.821882800193065i
0.03,0,180,0,0,13000.000000000002,-7.854180110289728E-9-0.02481774940174323i,14.54635874171419+6.8218831436385345i
0.03,0,190,0,0,13000.000000000002,-1.2871634010935922E-8-0.03008695225052699i,13.710201187660678+6.821883627182574i
0.03,0,200,0,0,13000.000000000002,-2.2237964120557884E-8-0.03755376238814517i,12.747449105125026+6.821884340940673i
0.03,0,210,0,0,13000.000000000002,-4.1795675362906626E-8-0.049011019598760155i,11.591046787465263+6.821885472789025i
0.03,0,220,0,0,13000.000000000002,-9.079298531106815E-8-0.06892116804656374i,10.110458413183283+6.8218874903656i
0.03,0,230,0,0,13000.000000000002,-2.6387433079440047E-7-0.11233420632922066i,7.988865059753417+6.821891970833689i
0.03,0,240,0,0,13000.000000000002,-1.8134835813285797E-6-0.2820780119157387i,3.9902935261376986+6.821909690060971i
0.03,0,250,0,0,13000.000000000002,-9.767679330218543E-6+0.6281334356323622i,0.5134673715689921-6.821949303417493i
0.03,0,260,0,0,13000.000000000002,-6.276036906503796E-7+0.15301298721912515i,6.646704197298504-6.821899582394722i
0.03,0,270,0,0,13000.000000000002,-2.2635818841494385E-7+0.08843943252289733i,9.027528337396568-6.821892884855677i
0.03,0,280,0,0,13000.000000000002,-1.2284934861038267E-7+0.06278887020830434i,10.515161824508006-6.821890266387347i
0.03,0,290,0,0,13000.000000000002,-8.03449844260335E-8+0.04899685377766282i,11.592307302445361-6.821888890769969i
0.03,0,300,0,0,13000.000000000002,-5.844506826336397E-8+0.04037028395865505i,12.433371952953388-6.821888056604259i
0.03,0,310,0,0,13000.000000000002,-4.5520940278060576E-8+0.034456015155553806i,13.121340279927193-6.821887506818034i
0.03,0,320,0,0,13000.000000000002,-3.717154973965231E-8+0.030142417999063104i,13.702210707166318-6.82188712492377i
0.03,0,330,0,0,13000.000000000002,-3.1417643103033166E-8+0.026852621276687198i,14.204125559587725-6.821886850474179i
0.03,0,340,0,0,13000.000000000002,-2.725583532170216E-8+0.024257449529538653i,14.645541928389449-6.821886648979457i
0.03,0,350,0,0,13000.000000000002,-2.4130439857335703E-8+0.022155351045615942i,15.039207830455569-6.821886499324298i
0.03,0,360,0,0,13000.000000000002,-2.1712027916708426E-8+0.020416000649523355i,15.394288401894597-6.821886387857756i
0.03,0,370,0,0,13000.000000000002,-1.9794444706105258E-8+0.018951381387292864i,15.717587345479213-6.821886305362749i
0.03,0,380,0,0,13000.000000000002,-1.8242867607372437E-8+0.01769989796860418i,16.014289414018442-6.8218862453912195i
0.03,0,390,0,0,13000.000000000002,-1.6965838305051695E-8+0.01661714912822927i,16.288432878484063-6.821886203297154i
0.03,0,400,0,0,13000.000000000002,-1.5899369861098112E-8+0.01567031518151623i,16.543221775163424-6.821886175648415i
0.03,0,410,0,0,13000.000000000002,-1.4997497668542153E-8+0.014834609600471341i,16.781238944853175-6.821886159854897i
0.03,0,420,0,0,13000.000000000002,-1.4226440964475012E-8+0.014090960153252306i,17.00459539128715-6.821886153925539i
0.03,0,430,0,0,13000.000000000002,-1.3560873433296386E-8+0.013424449655868132i,17.215037482808405-6.8218861563049265i
0.03,0,440,0,0,13000.000000000002,-1.2981471045051881E-8+0.012823241039355709i,17.414025489808743-6.821886165760657i
0.03,0,450,0,0,13000.000000000002,-1.2473258128807124E-8+0.012277819850230867i,17.602792170499214-6.821886181303969i
0.03,0,460,0,0,13000.000000000002,-1.2024466376367859E-8+0.011780449938472779i,17.78238717931329-6.821886202132717i
0.03,0,470,0,0,13000.000000000002,-1.1625731684911673E-8+0.011324775460361671i,17.95371121418671-6.821886227589677i
0.03,0,480,0,0,13000.000000000002,-1.1269518486275354E-8+0.010905525269740549i,18.117542613843515-6.821886257131576i
0.03,0,490,0,0,13000.000000000002,-1.0949700332428338E-8+0.010518290223664828i,18.274558316949925-6.8218862903057795i
0.03,0,500,0,0,13000.000000000002,-1.0661249759257076E-8+0.010159353242773228i,18.42535055391735-6.821886326732485i
0.03,0,510,0,0,13000.000000000002,-1.040000583500975E-8+0.009825558095238409i,18.570440269194194-6.821886366091009i
0.03,0,520,0,0,13000.000000000002,-1.0162497765473425E-8+0.009514206982572741i,18.710288010395235-6.821886408109053i
0.03,0,530,0,0,13000.000000000002,-9.945809507105105E-9+0.009222979808527557i,18.845302834631394-6.821886452554277i
0.03,0,540,0,0,13000.000000000002,-9.74747476007461E-9+0.008949869954998522i,18.97584964808492-6.821886499227574i
0.03,0,550,0,0,13000.000000000002,-9.565394731147678E-9+0.008693132754635005i,19.10225529676085-6.821886547957714i
0.03,0,560,0,0,13000.000000000002,-9.397773147593512E-9+0.008451243823128972i,19.22481365377571-6.821886598596983i
0.03,0,570,0,0,13000.000000000002,-9.243064472533143E-9+0.008222865116440051i,19.34378989425227-6.821886651017655i
0.03,0,580,0,0,13000.000000000002,-9.099932317400969E-9+0.008006817090720488i,19.459424107906763-6.821886705109105i
0.03,0,590,0,0,13000.000000000002,-8.967215799779116E-9+0.007802055720823832i,19.57193436815453-6.821886760775423i
0.03,0,600,0,0,13000.000000000002,-8.843902142767246E-9+0.007607653415049756i,19.68151935250763-6.8218868179334535i
0.03,0,610,0,0,13000.000000000002,-8.7291042150442E-9+0.007422783075712589i,19.78836059038602-6.821886876511147i
0.03,0,620,0,0,13000.000000000002,-8.622042010056893E-9+0.007246704715937296i,19.892624399888515-6.821886936446198i
0.03,0,630,0,0,13000.000000000002,-8.522027287178198E-9+0.007078754166159593i,19.994463563578066-6.821886997684901i
0.03,0,640,0,0,13000.000000000002,-8.428450767198913E-9+0.0069183334986808636i,20.094018784241637-6.82188706018117i
0.03,0,650,0,0,13000.000000000002,-8.340771403807079E-9+0.006764902872337799i,20.191419954323056-6.821887123895755i
0.03,0,660,0,0,13000.000000000002,-8.258507351965365E-9+0.006617973557015878i,20.286787266888446-6.821887188795531i
0.03,0,670,0,0,13000.000000000002,-8.181228330837516E-9+0.006477101943114738i,20.380232191286705-6.8218872548529275i
0.03,0,680,0,0,13000.000000000002,-8.108549138742425E-9+0.006341884377050793i,20.471858332839247-6.821887322045438i
0.03,0,690,0,0,13000.000000000002,-8.040124124472323E-9+0.006211952692548048i,20.56176219277308-6.821887390355218i
0.03,0,700,0,0,13000.000000000002,-7.975642456272637E-9+0.0060869703304284066i,20.650033842062484-6.821887459768726i
0.03,0,710,0,0,13000.000000000002,-7.914824059133627E-9+0.005966628958136957i,20.736757520728823-6.821887530276435i
0.03,0,720,0,0,13000.000000000002,-7.857416114425152E-9+0.005850645515221765i,20.82201217240925-6.821887601872601i
0.03,0,730,0,0,13000.000000000002,-7.803190034701881E-9+0.005738759623190566i,20.90587192255446-6.821887674555062i
0.03,0,740,0,0,13000.000000000002,-7.751938841609558E-9+0.005630731308135226i,20.988406507411476-6.8218877483250795i
