% Model,hl2.mph
% Version,COMSOL 6.1.0.357
% Date,"Nov 12 2023, 14:04"
% Table,d1sweep - 
% d1 (cm),freq (Hz),"Total acoustic pressure (Pa), Pressure","Total acoustic velocity, z-component (m^3/s), Velocity"
1,10,500.00000000000006,-3.673022706677105E-5-2.1534560848418007E-4i
1,20,500.00000000000006,-5.699488453126036E-5-4.5419469932741867E-4i
1,30,500.00000000000006,-9.25022457259384E-5-7.870255303390348E-4i
1,40,500.00000000000006,-1.8075157962062693E-4-0.001368565701917452i
1,50,500.00000000000006,-5.615029324609814E-4-0.0028387663763518945i
1,60,500.00000000000006,-0.012373447054558794-0.009657417951976067i
1,70,500.00000000000006,-8.210249390024886E-4+0.004508139136784774i
1,80,500.00000000000006,-1.6101794430264368E-4+0.002263084697064931i
1,90,500.00000000000006,-6.121721882679317E-5+0.001547567127251535i
1,100,500.00000000000006,-3.0130261295876376E-5+0.0011939701239264805i
1,110,500.00000000000006,-1.7011184265152246E-5+9.81186562470711E-4i
1,120,500.00000000000006,-1.0450223547333995E-5+8.379393906223562E-4i
1,130,500.00000000000006,-6.791401907184312E-6+7.342689609266127E-4i
1,140,500.00000000000006,-4.590144332493813E-6+6.55363093166726E-4i
1,150,500.00000000000006,-3.1897549456101795E-6+5.93041846633106E-4i
1,160,500.00000000000006,-2.2599963324235345E-6+5.424085962860339E-4i
1,170,500.00000000000006,-1.6216217893770199E-6+5.003462089675256E-4i
1,180,500.00000000000006,-1.1713360901902874E-6+4.6477171624943487E-4i
1,190,500.00000000000006,-8.466701314729032E-7+4.3423748954139947E-4i
1,200,500.00000000000006,-6.083136403580625E-7+4.0770431287833657E-4i
1,210,500.00000000000006,-4.3069220688832587E-7+3.844055905262393E-4i
1,220,500.00000000000006,-2.9669009356837384E-7+3.637625918364999E-4i
1,230,500.00000000000006,-1.9457024756617588E-7+3.4532962359607106E-4i
1,240,500.00000000000006,-1.161119164728375E-7+3.287574534680387E-4i
1,250,500.00000000000006,-5.54494078826951E-8+3.137682471155258E-4i
1,260,500.00000000000006,-8.328299121292658E-9+3.00137986520848E-4i
1,270,500.00000000000006,2.838241686299369E-8+2.876838774262415E-4i
1,280,500.00000000000006,5.701714733991965E-8+2.762551616426991E-4i
1,290,500.00000000000006,7.933681604909997E-8+2.6572630144729983E-4i
1,300,500.00000000000006,9.66838013424439E-8+2.5599184746737667E-4i
1,310,500.00000000000006,1.1009120190952224E-7+2.469625215222081E-4i
