% Model,hl2.mph
% Version,COMSOL 6.1.0.357
% Date,"Nov 13 2023, 18:26"
% Table,d8_m - 
% m,d1 (m),freq (Hz),"Total acoustic pressure (Pa), Pressure","Total acoustic velocity, z-component (m^3/s), Velocity"
0,0.08,10,2700,-4.833087533476699E-6-1.9043956071927224E-4i
0,0.08,20,2700,-6.819418304590415E-6-3.7933458316569395E-4i
0,0.08,30,2700,-8.405081984184519E-6-5.70198228608102E-4i
0,0.08,40,2700,-9.821314138702999E-6-7.645113073945539E-4i
0,0.08,50,2700,-1.1165951251352364E-5-9.637028870460525E-4i
0,0.08,60,2700,-1.2496753429900061E-5-0.0011692766124452758i
0,0.08,70,2700,-1.3855833901741288E-5-0.0013828739267005708i
0,0.08,80,2700,-1.527917584150404E-5-0.0016063304641808147i
0,0.08,90,2700,-1.680153061814736E-5-0.001841738947670219i
0,0.08,100,2700,-1.845969960338209E-5-0.002091525759978173i
0,0.08,110,2700,-2.029537613276249E-5-0.0023585481843856697i
0,0.08,120,2700,-2.235818330800392E-5-0.0026462212338976584i
0,0.08,130,2700,-2.4709416296060134E-5-0.002958686615158666i
0,0.08,140,2700,-2.7427068498580438E-5-0.003301042262107668i
0,0.08,150,2700,-3.061295816740137E-5-0.0036796603347464397i
0,0.08,160,2700,-3.4403235387041946E-5-0.004102637025974927i
0,0.08,170,2700,-3.898439835217002E-5-0.004580443403876671i
0,0.08,180,2700,-4.461852058942161E-5-0.005126891260957547i
0,0.08,190,2700,-5.168440338829741E-5-0.005760608134019117i
0,0.08,200,2700,-6.074740154034939E-5-0.006507365487872155i
0,0.08,210,2700,-7.268342186223157E-5-0.007403897875829301i
0,0.08,220,2700,-8.891131709794602E-5-0.008504460810413254i
0,0.08,230,2700,-1.1185774793016501E-4-0.009892730220082678i
0,0.08,240,2700,-1.4596513205311304E-4-0.011704917247033719i
0,0.08,250,2700,-2.0011370154664874E-4-0.014178728211581783i
0,0.08,260,2700,-2.942909473791237E-4-0.017769599597355443i
0,0.08,270,2700,-4.818212964057288E-4-0.02347404977995085i
0,0.08,280,2700,-9.486503103857878E-4-0.03397221436700558i
0,0.08,290,2700,-0.0027678880467252643-0.0597722177963215i
0,0.08,300,2700,-0.03702271718993522-0.2223359872875747i
0,0.08,310,2700,-0.011857860795716728+0.13075629880591166i
0,0.08,320,2700,-0.0017562354022704518+0.051942805521385645i
0,0.08,330,2700,-6.571738454186812E-4+0.03267526915426023i
0,0.08,340,2700,-3.3510903433311577E-4+0.02397509697021093i
0,0.08,350,2700,-1.9986355740333325E-4+0.01901381209930531i
0,0.08,360,2700,-1.3105684228310725E-4+0.01580322089936592i
0,0.08,370,2700,-9.157850618554951E-5+0.013552571469000137i
0,0.08,380,2700,-6.697596651448904E-5+0.011885077647404887i
0,0.08,390,2700,-5.068996863271932E-5+0.010598381473714474i
0,0.08,400,2700,-3.940149084957457E-5+0.009574085580601934i
0,0.08,410,2700,-3.128825266912645E-5+0.008738298052617475i
0,0.08,420,2700,-2.5284000813675543E-5+0.008042514633856877i
