% Model,Untitled.mph
% Version,COMSOL 6.1.0.357
% Date,"Nov 9 2023, 17:38"
% Table,sweep10kd1 - 
% freq (Hz),"Total acoustic pressure (Pa), Pressure","Total acoustic velocity, z-component (m^3/s), Velocity"
10,11000,-3.24489649228272E-5-0.0018570206172955283i
20,11000,-9.271615850765933E-5-0.0037106376788932378i
30,11000,-1.53432068131388E-4-0.0055981502695875065i
40,11000,-2.0638519347021268E-4-0.0075740179346659945i
50,11000,-2.5279857413895175E-4-0.009692301758372008i
60,11000,-2.9536139465428495E-4-0.012013835987102699i
70,11000,-3.370314719994513E-4-0.014614064285718983i
80,11000,-3.8090762009180537E-4-0.017592884899259045i
90,11000,-4.304924373609422E-4-0.021089654500773367i
100,11000,-4.902884075796347E-4-0.025308360619279848i
110,11000,-5.669154851831852E-4-0.03056316932560676i
120,11000,-6.713680519089434E-4-0.03736747916745128i
130,11000,-8.2417959306572E-4-0.0466248492561592i
140,11000,-0.0010691748567912259-0.06009039510128767i
150,11000,-0.0015182724226777136-0.08168838315680398i
160,11000,-0.002550166380681954-0.12237016345637165i
170,11000,-0.0063819135143216655-0.22860744284601053i
180,11000,-0.1255255134702352-1.2380976906963688i
190,11000,-0.00689324393617926+0.38717751583275156i
200,11000,-4.663328877922403E-4+0.17234146968108197i
210,11000,1.3408739108419838E-4+0.11254539947153847i
220,11000,2.3895293930435615E-4+0.08438761051163617i
230,11000,2.482582915435942E-4+0.06796854149829293i
240,11000,2.3405546948165613E-4+0.0571869531677711i
250,11000,2.1455221150122158E-4+0.04954705313602009i
260,11000,1.9508303584553648E-4+0.04383793748761416i
270,11000,1.772166383487569E-4+0.03940092242703309i
280,11000,1.612954028233644E-4+0.035846900283877235i
290,11000,1.4725072835080697E-4+0.032931180919731726i
300,11000,1.348880024683021E-4+0.03049214349742134i
310,11000,1.2398989816878356E-4+0.028418715691301798i
320,11000,1.1435286996936859E-4+0.026632024093157344i
330,11000,1.0579813209175379E-4+0.025074498891871418i
340,11000,9.817288762633019E-5+0.023703123724367503i
350,11000,9.134806325990317E-5+0.02248510033777801i
360,11000,8.521506049222411E-5+0.0213949767770351i
370,11000,7.968250672431302E-5+0.02041269329371684i
380,11000,7.467335503058523E-5+0.01952222104795043i
390,11000,7.01224193652375E-5+0.01871059383400134i
400,11000,6.597432855858097E-5+0.017967206473009863i
410,11000,6.218184692903913E-5+0.017283297910424496i
420,11000,5.87045022467649E-5+0.01665156464004642i
430,11000,5.550746585386915E-5+0.01606586763802549i
440,11000,5.256063744452118E-5+0.01552100741822891i
450,11000,4.983789516766573E-5+0.015012549406377342i
460,11000,4.7316479111776754E-5+0.0145366869578452i
470,11000,4.497648249977256E-5+0.0140901328675537i
480,11000,4.280043005822221E-5+0.013670032678789539i
490,11000,4.077292715704962E-5+0.013273894837164154i
500,11000,3.8880366606757545E-5+0.012899533982687547i
