% Model,Trumpet_3.mph
% Version,COMSOL 6.1.0.357
% Date,"Jan 12 2024, 16:12"
% Table,Probe Table 1 - 
% freq (Hz),"Total acoustic pressure (Pa), input pressure","Total acoustic velocity, z-component (m^3/s), input velocity","10*log10(abs(acpr.p_t/acpr.v_tz)), impedance"
50,11.08282659268217+6.917115312313543i,3.7613188539293316E-7-6.026507111093003E-7i,28.35011099290756
65.49019607843137,12.580406668230536+5.955806473744023i,2.456471962961461E-7-5.188787849206087E-7i,29.55136707413099
80.98039215686275,13.45955016839353+5.110536357150626i,1.6904721992006404E-7-4.452173663062894E-7i,30.51072077286551
96.47058823529412,14.005804010386193+4.418917942505579i,1.2145211974721544E-7-3.849436916363778E-7i,31.316556957966913
111.9607843137255,14.363912770872362+3.857754085242401i,9.025023464321097E-8-3.360365822500836E-7i,32.01789881564076
127.45098039215686,14.60898776826729+3.3993952429709315i,6.889707162383696E-8-2.960869227266595E-7i,32.642932657842536
142.94117647058823,14.783816995467012+3.0182009168929063i,5.366450542266824E-8-2.628606408806948E-7i,33.21375434828732
158.4313725490196,14.912200272531688+2.6970664116580707i,4.247884009482379E-8-2.348673981850557E-7i,33.742925314333945
173.921568627451,15.008982657049513+2.422554956848212i,3.4046619633677783E-8-2.1093644219249726E-7i,34.24074215134308
189.41176470588235,15.08356400744351+2.184715667537803i,2.754883080128489E-8-1.9020074735388926E-7i,34.71515329246672
204.90196078431373,15.141707488134259+1.977622224047623i,2.2483310251391537E-8-1.721439530016117E-7i,35.16909289659731
220.3921568627451,15.188543121345102+1.792127763234309i,1.8403116126342955E-8-1.5596908244277162E-7i,35.61573743035747
235.88235294117646,15.226159299702346+1.6269376741301846i,1.5126252626003614E-8-1.4156334059592534E-7i,36.052811218203516
251.37254901960785,15.256836068437996+1.4779136086913338i,1.2454067243847662E-8-1.285661497446868E-7i,36.48616423202823
266.8627450980392,15.282088744059411+1.342359965585945i,1.0254530625946124E-8-1.1674264062691302E-7i,36.919802447744736
282.3529411764706,15.303131811542023+1.2175330206273463i,8.421834016521572E-9-1.058537500554302E-7i,37.3599033044381
297.843137254902,15.320398693670246+1.1043204922073542i,6.9181737146723596E-9-9.597682945200387E-8i,37.80070126154401
313.3333333333333,15.335029123882645+0.9981634522783611i,5.6442929184116126E-9-8.671465188372002E-8i,38.25834464379139
328.8235294117647,15.347304093765608+0.8992997817614937i,4.575687853062008E-9-7.808794613683717E-8i,38.73250291233587
344.3137254901961,15.357626213701595+0.8066974471452131i,3.677280477312002E-9-7.000679034427976E-8i,39.22925268972181
359.80392156862746,15.3663195303007+0.7194059072112156i,2.9208397485994347E-9-6.238836298653552E-8i,39.756706670490175
375.29411764705884,15.373523640623793+0.6379928971297786i,2.2941785478776832E-9-5.528213292072211E-8i,40.315601054396055
390.7843137254902,15.379629566397401+0.5597228983303087i,1.763269660477063E-9-4.8449749482722717E-8i,40.93311173970925
406.27450980392155,15.384679214744233+0.4854949706004291i,1.3244348663227309E-9-4.196955023867143E-8i,41.61780433700998
421.7647058823529,15.388826405406244+0.41466674273208715i,9.642764888390727E-10-3.578556456149188E-8i,42.3992598850111
437.2549019607843,15.39218659802109+0.34679293710385994i,6.727366822147727E-10-2.9858994910524864E-8i,43.32734204544561
