% Model,Trumpet_3.mph
% Version,COMSOL 6.1.0.357
% Date,"Jan 15 2024, 11:44"
% Table,Probe Table 1 - 
% freq (Hz),"Total acoustic pressure (Pa), input pressure","Total acoustic velocity, z-component (m^3/s), input velocity","10*log10(abs(acpr.p_t/acpr.v_tz)), impedance"
50,11.082855584952503+6.9170187183378715i,3.76129359588016E-7-6.026422949134403E-7i,28.350154002630276
55.16339869281046,11.677552608396203+6.593017457479918i,3.2431317922672776E-7-5.744077011403048E-7i,28.785795769171834
60.326797385620914,12.170184011663542+6.269466610006824i,2.813900290671299E-7-5.46212352038088E-7i,29.18410854490309
65.49019607843137,12.580371314987053+5.9557275793506275i,2.4565027685873564E-7-5.188719110667588E-7i,29.551383606189653
70.65359477124183,12.923976306726935+5.656743673270698i,2.1571187755156308E-7-4.928170909427518E-7i,29.892479437344047
75.81699346405229,13.213657572577194+5.374776498591214i,1.9047188264419993E-7-4.6824494652254935E-7i,30.21122697368471
80.98039215686273,13.459467217477492+5.110493750352012i,1.6905444752373162E-7-4.452136543812399E-7i,30.510701052877796
86.1437908496732,13.669384925419621+4.863642803578123i,1.507642985864232E-7-4.237012031826368E-7i,30.793407817141915
91.30718954248366,13.84976083215718+4.633464194980737i,1.3504814552914588E-7-4.036414205279193E-7i,31.061417486604736
96.47058823529412,14.005669233717889+4.418943111758794i,1.2146386256215158E-7-3.84945885297299E-7i,31.316460568048896
101.63398692810458,14.141185710402523+4.218960409753014i,1.0965634246490529E-7-3.6751708592841477E-7i,31.55999895644866
106.79738562091502,14.259602246859892+4.032381480455237i,9.933875307350399E-8-3.5125616344611223E-7i,31.79327940353612
111.96078431372548,14.363593643790406+3.8581067852257176i,9.027803775084902E-8-3.360673145267181E-7i,32.01737435399933
117.12418300653594,14.455346259497023+3.6950988653561048i,8.228369807451563E-8-3.2186014490100455E-7i,32.233213569042164
122.28758169934639,14.536657836941492+3.542395042515867i,7.519909585948159E-8-3.0855077594943023E-7i,32.441608925322576
127.45098039215685,14.609015195613098+3.399111546751249i,6.889468382845559E-8-2.960622043767195E-7i,32.6432740860523
132.6143790849673,14.673654971307077+3.2644426409734817i,6.326271332641396E-8-2.8432422592747203E-7i,32.83884027028135
137.77777777777777,14.7316113425517+3.1376569555102107i,5.821307589486337E-8-2.732731160144558E-7i,33.02886901876942
142.94117647058823,14.783753731016757+3.018092397309763i,5.3670018417550234E-8-2.628511861548356E-7i,33.213862622705896
148.1045751633987,14.830816743684009+2.905150465091026i,4.956953424464469E-8-2.530062886469121E-7i,33.394272715284
153.26797385620915,14.873424082767432+2.7982904665644894i,4.5857279910845946E-8-2.436913127122833E-7i,33.57050740570673
158.4313725490196,14.91210774170209+2.697023923578098i,4.248690257944081E-8-2.34863697016771E-7i,33.7429372465352
163.59477124183005,14.947323498392013+2.600909319447869i,3.9418690108564614E-8-2.2648497199894148E-7i,33.9119002605042
168.7581699346405,14.979463484694987+2.509547261461023i,3.661847586617108E-8-2.185203383793261E-7i,34.077706203231855
173.92156862745097,15.008866435021687+2.4225760821254934i,3.405674576476868E-8-2.109382838943664E-7i,34.240640201673166
179.08496732026143,15.035826082844004+2.339667873885139i,3.1707906669909906E-8-2.037102377987786E-7i,34.40096587879924
184.2483660130719,15.060598071622104+2.2605249359535957i,2.9549684247975554E-8-1.9681026127768725E-7i,34.55892805249666
189.41176470588235,15.083405668342385+2.1848766041481746i,2.7562625142746813E-8-1.9021477122775848E-7i,34.71475507837216
194.57516339869278,15.104444507990458+2.112476430888554i,2.5729683587677975E-8-1.839022945499215E-7i,34.86866089293207
199.73856209150324,15.123886550884798+2.0430996820816754i,2.4035876601273945E-8-1.7785325005145784E-7i,35.020846802819754
204.9019607843137,15.141883398710846+1.9765411178821755i,2.2467995059433474E-8-1.720497550821593E-7i,35.17150305904976
210.06535947712416,15.158569086369901+1.912613025334196i,2.1014360440464492E-8-1.6647545411877813E-7i,35.3208102507765
215.22875816993462,15.174062443409923+1.8511434729491922i,1.9664619072132477E-8-1.611153666844322E-7i,35.4689405492712
220.39215686274508,15.18846909996618+1.7919747594866495i,1.840956735331947E-8-1.5595575219174023E-7i,35.61605882980392
225.55555555555554,15.201883196969561+1.734962032351851i,1.724100274234301E-8-1.509839895609568E-7i,35.762323695666225
230.718954248366,15.214388848502626+1.6799720547018957i,1.6151596341363603E-8-1.4618846979889698E-7i,35.90788842333434
235.88235294117646,15.226061395312769+1.626882103150844i,1.5134783677062177E-8-1.415584999546433E-7i,36.05290184543817
241.0457516339869,15.236968481594268+1.5755789810969407i,1.418467088020357E-8-1.370842171510649E-7i,36.197509183888975
246.20915032679736,15.247170981863785+1.5259581348473257i,1.3295953926501819E-8-1.3275651156976524E-7i,36.341852843647125
251.37254901960782,15.256723800574836+1.4779228606734125i,1.2463848966021071E-8-1.285669573651015E-7i,36.486073177997945
256.5359477124183,15.265676563211123+1.4313835933843169i,1.168403210783416E-8-1.2450775067431185E-7i,36.63030923303721
261.69934640522877,15.274074214725399+1.3862572669527338i,1.0952587278042515E-8-1.205716539100776E-7i,36.77469948137341
266.8627450980392,15.281957538370133+1.3424667399326802i,1.0265961013737063E-8-1.1675194569564727E-7i,36.9193825519286
272.0261437908497,15.2893636060613+1.2999402789510794i,9.62092322278709E-9-1.1304237586210362E-7i,37.064497963192494
277.1895424836601,15.296326169891216+1.2586110950325997i,9.01453307125309E-9-1.0943712504914525E-7i,37.210186865227676
282.35294117647055,15.302876003524439+1.218416927972831i,8.444109237296182E-9-1.059307684887789E-7i,37.356592796635425
287.516339869281,15.309041201504682+1.1792996745529796i,7.907203832557006E-9-1.0251824361460863E-7i,37.503862462297185
292.6797385620915,15.314847443854287+1.1412050559620714i,7.401579347310315E-9-9.919482108249407E-8i,37.652146542571536
297.84313725490193,15.320318232294056+1.104082319692247i,6.9251880684520655E-9-9.595607879706747E-8i,37.80160054718135
303.0065359477124,15.325475103049929+1.0678839707620233i,6.476153537298118E-9-9.279787849304242E-8i,37.952385732564224
308.16993464052285,15.330337819643514+1.0325655272975467i,6.052753751685004E-9-8.971634443909148E-8i,38.10467010544366
313.3333333333333,15.334924547646091+0.9980852964293092i,5.653405939297039E-9-8.670784391134612E-8i,38.2586295368492
318.4967320261438,15.339252012497806+0.9644041673587906i,5.276652806817399E-9-8.37689691632307E-8i,38.41444901300037
323.66013071895424,15.34333564114823+0.9314854195374843i,4.9211501987091844E-9-8.08965207113935E-8i,38.57232405112978
328.8235294117647,15.347189688340546+0.8992945447001159i,4.585656094033973E-9-7.80874918300902E-8i,38.732462311409996
333.98692810457516,15.35082734856595+0.867799081998938i,4.269020851864244E-9-7.533905418558097E-8i,38.89508544157857
339.15032679738556,15.354260854888633+0.8369684653950236i,3.970178600749155E-9-7.264854453948032E-8i,39.06043120013724
344.313725490196,15.35750156579234+0.8067738827922549i,3.688139671803395E-9-7.001345247434375E-8i,39.228755913764346
